title,description,requirements,required_education,location
3560,9400,5701,1,1652
3969,2123,666,1,873
10045,3324,10752,9,1487
6058,13597,2887,9,1249
7717,12456,2014,1,3105
9846,12992,9103,13,43
5176,3450,11968,13,3105
3962,3978,11968,9,1079
2265,6966,11968,9,2535
4348,7822,6054,13,600
4078,8193,9201,1,1083
9496,11841,7396,1,855
2710,10262,7564,1,119
10483,10585,2265,1,2834
462,7633,1765,0,1249
62,13924,10513,1,452
4942,2747,196,13,119
3921,5832,3731,1,920
930,4837,496,4,304
3432,12793,10333,9,243
1768,4546,3003,9,67
513,3597,11968,1,1248
10119,3976,4512,9,1083
8498,2750,11968,13,118
1516,2039,140,4,2862
4901,2001,4996,5,814
8457,11349,5078,9,2734
7537,3228,4798,1,2947
7672,2962,5900,1,2539
9467,14411,11526,1,872
5059,10941,2086,1,772
2661,7142,5253,13,820
2697,1170,7927,1,367
6044,12089,7103,13,1249
9858,8525,5911,4,2270
7047,13057,1299,13,552
6058,11989,2311,1,600
595,7873,581,13,813
3378,2722,9651,9,144
521,14657,6788,0,1724
1133,2589,4866,13,264
5473,14169,11968,13,3105
3328,2276,261,4,296
9130,12113,7521,1,917
667,4751,2550,13,743
8427,8793,8240,9,216
8719,2413,11817,1,2734
5504,5897,11968,13,2231
119,12637,276,1,1249
8742,10493,6031,1,2535
6599,3402,833,1,813
5295,6652,2826,1,230
7965,4137,11968,13,1396
11212,13350,4237,13,791
7640,3672,5593,4,1807
3738,1180,2674,9,888
2481,3420,2771,9,1114
7772,450,11968,13,3040
9570,9266,2922,1,1579
2859,9053,8437,1,1579
8309,5799,6168,1,1899
9264,14540,11962,4,2045
156,13372,6419,1,2936
1467,6405,310,13,2516
3011,10956,4187,13,367
6401,12645,887,13,2469
5566,7248,11968,1,1573
4081,7907,9901,1,2211
9417,1036,1407,13,2535
2407,1819,4864,13,813
468,8298,5532,4,1756
4884,11204,820,13,925
6264,9325,1215,4,2234
2477,983,998,1,1703
2613,14794,11960,13,988
45,7293,881,13,2541
7767,10396,2266,1,2834
7717,13481,11968,13,1241
3326,9138,11968,13,3011
5070,10939,2087,1,772
6260,4673,8584,0,2943
7640,3672,5593,4,2875
4081,7907,9901,1,2701
3235,13899,9569,13,625
8751,3057,5571,13,2102
7156,7338,51,13,1703
5965,3956,8201,13,850
9058,8677,7336,1,911
592,10980,5067,13,367
4685,10921,4896,13,483
5705,8860,11968,13,2574
9952,2944,10762,1,873
3294,10968,2109,13,2340
1159,1700,2592,9,625
8318,3328,11903,1,1564
4860,950,8088,13,2529
977,8284,1454,4,2877
10354,10269,9046,13,1703
2858,3647,4745,5,1580
9495,9270,8574,13,1113
7727,10392,3980,13,160
10480,3533,6286,1,625
6704,5110,676,1,1564
6367,14148,251,4,1972
7807,4613,1594,4,2771
9317,9154,8155,13,228
7636,7434,5445,1,1446
9742,6310,11968,1,1248
5337,1381,8944,13,813
2700,8189,3373,13,1783
2585,13540,5710,13,2875
10147,5898,6697,13,134
3534,11151,7041,13,252
6373,3676,234,4,2603
6542,2447,5107,1,1063
6369,5247,5594,4,1879
6288,10285,2263,1,2834
4348,11462,2696,1,367
11230,11221,5550,13,2865
6374,1490,8894,4,2016
159,1621,5782,4,2689
10986,13649,7517,1,918
7098,13603,11968,13,252
10308,3264,4332,4,1899
2877,3643,7801,5,2528
6375,846,6165,4,2810
9479,6530,10865,13,2535
8267,13382,4712,1,1564
5918,13286,4191,4,649
3472,6741,4000,13,1703
6147,6176,2167,13,1853
4918,1127,11286,13,1058
10166,12951,10819,9,663
9912,8577,8665,13,1148
9495,13509,19,1,788
10602,540,7531,1,1396
6372,14147,217,4,2446
6082,4423,9632,9,1807
10641,8465,10431,1,1147
9219,13387,5504,1,2535
9614,8641,11968,1,253
2407,8879,8730,13,293
5039,13262,11318,1,67
5440,12428,6288,13,216
9564,6461,6205,13,2535
1812,10252,4216,13,2482
2147,3692,414,13,2535
8457,12150,2588,13,125
9495,9272,330,13,1103
4080,7908,9902,1,168
8275,3593,9458,13,516
2259,4014,2693,4,2698
5794,14287,7996,1,94
1617,14074,9414,13,2576
5369,2727,1279,1,1419
9372,13354,2389,9,1739
5443,7799,1236,13,813
4459,5189,11968,9,2206
9163,11746,11725,1,1083
5951,5869,6916,13,2044
1128,12747,9328,1,1230
10908,13804,10488,13,1161
9597,5072,82,9,2535
2199,14604,5407,4,2535
9947,2447,5107,1,1063
2710,9411,6188,0,2772
7619,678,11968,1,1083
10202,1656,352,9,2846
7599,8310,8154,13,1113
5275,5421,8433,1,2601
7111,8738,5237,13,2080
2995,1055,7870,9,239
4795,5548,8292,13,1113
5192,11768,8048,1,933
2187,8965,7915,4,1478
1396,14278,8199,9,696
2988,3888,11968,13,2875
2662,7516,120,1,813
1466,13276,1592,13,536
6584,11193,4356,4,2834
6320,7896,779,13,3105
7466,1343,10083,1,2535
3981,9170,964,1,1759
4154,11818,11968,1,2535
2310,4342,10405,9,625
3977,9170,964,1,1972
3975,9170,964,1,1899
7865,14745,8987,13,1621
3732,2757,11968,13,813
7819,14243,5590,4,343
3986,9170,964,1,1560
2021,8419,10388,9,2535
4080,7908,9902,1,1393
4082,7908,9896,1,3098
7804,3281,10722,13,1710
4080,7908,9902,1,2752
8554,13792,959,1,1092
310,10738,7909,1,813
11225,11952,10758,13,762
1197,3388,664,1,2535
10145,7924,9894,1,990
3979,9170,964,1,1487
7413,14225,3783,9,625
9014,13482,11968,13,1241
3382,11530,10316,13,625
9107,11830,10965,13,600
1384,14768,11864,1,1304
10894,995,8022,13,2687
10255,11880,10712,13,1855
3108,4035,7774,11,2080
9461,9121,9978,9,725
289,9590,3166,1,2231
10952,5615,5322,13,813
5714,9055,11968,13,2822
8196,4154,1086,13,2853
6169,2351,11968,2,1389
1341,2668,11881,13,1113
3064,4018,3449,1,625
1709,2849,8289,13,1113
8981,7365,2360,1,2044
8715,7590,4912,1,625
4081,7907,9901,1,2003
7411,870,11968,13,1564
6531,6187,9245,13,2469
1736,11282,9423,9,2462
239,13502,7324,13,788
2404,14685,2568,13,2398
9755,12462,1514,13,2875
10038,12147,699,1,2985
4412,12333,4517,13,2875
3771,4588,10414,13,1787
3462,3902,2142,1,1974
10982,6877,620,13,974
5459,2059,11968,13,3105
4253,4789,506,4,579
506,2632,6545,1,2865
1025,13725,9439,1,2954
3205,7918,9893,1,1846
1180,8313,6102,13,166
3723,9369,11968,1,1249
6725,4349,87,13,296
9129,3916,4641,1,1083
9287,10538,6660,4,125
3217,11025,976,1,2687
3896,12309,7151,4,2270
6058,550,10472,13,1162
6006,4946,8417,13,151
7148,2843,10262,13,625
3463,4712,3657,4,2875
5410,1173,2676,13,2325
9495,9274,8575,13,1113
3503,4368,9559,1,2348
5601,14457,11924,13,290
2198,3265,6271,1,1248
7220,8149,5060,2,1460
8959,14742,11814,13,1241
2069,9660,2283,13,1029
847,2329,9550,13,1113
7388,12399,3860,13,216
10908,13803,10488,13,801
1179,6922,11968,13,296
2478,997,8020,13,2687
1111,12491,2134,1,600
4311,13125,11254,13,216
7961,1724,5270,1,1759
7360,13912,642,13,625
10467,3037,11178,13,216
2210,10012,5404,4,2736
5616,2633,2197,13,1899
350,1217,1480,13,1113
5776,11057,4193,4,372
2463,13311,11968,13,210
9231,14517,7823,13,776
2505,14341,5849,13,850
5450,6353,11203,13,1989
8027,6635,7550,7,2482
10866,5865,11968,13,2322
4368,6379,2976,13,625
2106,14468,4032,9,1564
4081,7921,9901,1,2779
9862,9780,4749,13,1888
5617,6526,2196,13,1899
587,12735,11509,0,813
10882,771,3718,13,1560
10358,64,50,13,1764
5669,7615,5054,13,2121
3764,13962,10232,13,1083
6990,10334,3528,13,625
1040,2547,4493,13,788
947,2468,3049,13,2231
9789,9377,11968,1,1249
723,13734,9439,1,2974
2282,10862,6782,4,2612
4220,4943,11968,1,888
9762,9369,11968,1,1249
6018,11487,4266,13,3105
2439,2338,11206,13,1016
3792,10994,11968,13,1209
4373,5048,4915,13,296
7120,12203,80,13,1013
2207,9937,5404,4,2955
8879,5640,10062,13,619
871,2756,11968,13,813
9870,4156,632,13,1295
2360,3274,2749,13,1103
2811,10926,2096,5,1652
3340,11669,2234,1,2246
2631,11150,4766,13,2736
2210,9963,5404,4,2013
4542,8962,3760,13,2955
6058,14121,10844,13,813
5790,7121,3188,1,1899
2370,3417,8830,4,2243
4399,5086,8340,13,1113
7912,8718,8614,13,2853
3206,7912,9907,1,1372
2693,4542,1468,1,625
1373,9817,5024,1,776
3174,1957,1071,0,109
7865,6419,6966,4,1731
8182,8907,8146,13,1113
9495,13509,9240,13,788
2908,7097,2599,13,1405
2199,9947,5404,4,1972
6000,9240,6195,9,109
3660,4568,11968,13,1389
1491,12228,3732,9,320
1693,7880,1918,1,2051
183,4474,4626,13,2535
7919,11495,1253,13,722
4425,8015,6876,1,1899
9224,6821,2602,13,805
4080,7908,9902,1,131
5456,5753,8391,9,494
6685,7205,2888,5,1175
4956,2399,1445,7,625
2274,10091,7238,4,1564
195,6631,9830,13,2671
3618,310,11968,13,1899
656,9222,10172,5,1179
7006,4047,3680,4,2176
7053,5604,7750,0,1339
1847,6857,748,1,610
450,12945,72,13,2304
5255,6126,11968,1,1248
1884,2996,7755,5,1205
6425,7025,4719,3,7
5009,10215,9027,1,1703
4674,11214,6984,1,1807
6229,8722,6901,13,1990
5232,6067,3359,5,7
2922,3862,7887,3,7
3794,12116,10976,9,1153
3204,7918,9893,1,2752
10591,11719,2677,3,1204
3167,19,16,1,1043
8416,12626,10905,13,1566
964,1817,4061,10,2986
7450,12508,2293,1,2535
310,467,1721,13,625
5233,6068,4109,3,7
10097,10378,9079,13,1759
1885,6063,9971,3,1203
3291,5875,11968,13,1560
4171,7843,9772,13,867
3223,6309,8680,13,2051
4540,7642,362,13,2955
6301,6487,5081,1,276
3206,7912,9907,1,2267
5722,5190,11968,4,2173
3405,1938,7166,13,2981
1249,1543,3289,13,2754
3324,10162,8971,9,1249
6183,8355,5185,13,1458
107,2528,10003,9,67
3205,7918,9893,1,2258
2012,11909,8714,13,2535
4221,4223,11968,13,946
10779,50,7685,13,3105
10908,13803,10488,13,1186
10056,3325,9691,9,1423
9739,303,11968,13,3040
5813,6451,4744,4,1740
5491,13099,5096,0,2608
8941,13230,11335,1,60
9465,2940,10069,13,818
1613,1023,3661,9,625
2165,2404,10111,13,2535
4806,1553,8926,13,2650
9129,14285,5311,13,814
10224,13409,7389,1,2482
2999,5982,3269,13,1249
10692,3373,4664,4,1948
6294,6299,7652,9,1072
2548,13500,11968,13,1083
10908,13804,10488,13,1178
8517,8170,4055,13,1161
7513,6003,6317,4,1504
4930,13423,7387,1,2482
1141,13536,1302,13,2736
1750,8359,9575,13,1830
7602,12730,3855,1,2929
10921,10659,3758,1,2929
459,9758,1766,13,2558
8128,1636,7551,1,1049
6203,6313,11968,13,33
6595,1785,11968,13,2535
2856,10578,1934,1,2535
3770,11358,8900,9,2398
3048,5236,11552,0,2735
612,11991,4499,2,216
838,1756,4770,4,2772
9269,8744,6350,1,2929
7707,2307,4820,13,2420
1649,10677,2127,13,1560
6089,2710,5548,1,872
2086,12228,11968,13,767
1991,9867,4353,13,2576
10995,3155,3548,13,1193
3206,7912,9907,1,2258
10758,11839,151,13,1703
9934,1530,9397,1,2316
7896,11313,9215,9,2974
7144,7726,5097,13,2734
8265,12795,3550,13,798
1689,496,3324,1,1506
7450,8448,10435,1,2535
4747,13698,11968,9,1249
8637,7518,5887,13,813
5069,10942,2087,1,772
450,1257,3216,9,1759
2536,2949,6632,13,3007
8364,8822,6426,9,2956
4556,10672,9415,13,1249
8513,9627,1866,6,813
760,168,10017,13,772
10406,6012,840,13,2437
4681,4353,5925,13,2853
7980,4859,1493,0,1438
5482,3883,1310,13,625
11226,11949,10760,13,762
450,12311,5521,1,2853
131,7658,9883,1,813
6043,4548,11968,5,813
1738,11259,7715,9,2974
496,8833,11968,1,2007
9733,11371,11455,13,1249
3723,1780,825,13,1451
6058,5304,3455,13,946
9468,14340,7323,13,2259
8393,2494,6273,4,2079
6894,6126,11968,1,1248
227,2077,2633,4,415
5861,3662,1803,1,1083
7740,14333,4855,13,2969
606,4397,5247,1,1249
1413,5210,11968,13,2199
10088,11128,11968,13,2469
10532,5360,8597,13,2535
10342,14488,333,1,946
10361,9645,10012,6,2208
5438,7696,9204,13,1560
3576,6413,11968,13,197
2282,14632,6153,4,1487
1754,749,11968,1,1807
5337,4539,8871,9,625
1503,5721,10000,4,2865
1900,11417,9419,13,2462
6818,2510,9482,13,681
1534,2769,2574,5,1328
3260,14669,11968,4,2811
10728,10601,9126,1,1703
6707,13670,3539,9,625
3392,11961,51,9,2834
10095,10567,9119,13,1759
3101,8029,5142,13,1147
709,7574,7604,13,166
2330,11505,11187,13,250
694,4052,5052,6,1100
450,3263,4337,4,2734
4538,3994,6466,4,2970
3355,9220,7775,13,1176
10638,2450,5554,1,1214
6023,13054,2533,1,51
11034,7094,5703,13,1371
10881,1556,51,13,836
7504,8279,6324,4,1249
3760,8084,11968,1,1564
9203,12621,9502,13,625
7839,9838,9100,13,1759
4998,10215,9026,1,1703
7934,1243,5131,13,95
1853,11312,9418,1,2974
6808,7613,3561,9,2736
9626,2084,3042,13,7
6577,2866,9410,13,1464
8267,3162,11569,1,1564
845,4178,2024,1,1564
687,13558,10249,1,2500
8734,13031,52,13,3105
8969,5469,1787,1,2052
6576,2866,9410,13,2542
1058,9795,8950,13,1759
6729,7213,8291,13,1111
928,12223,11968,13,543
1593,7000,6926,9,2818
3366,9866,2291,1,1529
4650,679,11968,1,1083
4668,13260,11351,1,60
6074,13873,7880,1,872
4888,4912,11968,13,2740
3763,7293,11688,13,1566
5989,6714,9639,9,1548
4519,5303,11968,13,1083
3204,7918,9893,1,1937
6060,10417,6715,13,1567
7668,6947,7178,1,2431
10703,4740,2227,1,1529
8483,12166,3432,13,1464
1373,9816,5019,1,813
10414,3515,7410,1,625
2133,13672,1571,9,625
8514,12880,10512,13,125
723,13718,9439,9,2954
10096,10568,9120,13,1759
7268,8752,5452,13,2754
7837,10402,9099,13,1759
7295,3516,7607,13,2715
6219,13756,6635,1,1249
443,5583,11742,1,1449
10700,11797,9973,13,2563
2536,2948,11931,13,1448
5328,2372,4840,13,1249
7717,10815,10041,1,367
4809,7675,8178,13,125
5825,12205,11968,13,559
1169,772,6424,13,1560
7952,376,11968,13,2044
4828,11842,1738,13,776
4846,7676,8181,13,125
759,11913,11968,13,26
6456,5364,529,2,2462
2733,13438,11448,13,367
8067,2954,6633,13,1564
6286,3570,2526,1,1035
10278,9671,8893,13,1703
8910,10502,9108,13,1703
566,6794,3929,13,1025
2879,8616,7809,1,2413
2199,10034,5404,4,1564
3794,10640,9885,13,225
3807,472,6831,1,625
3808,14003,6831,1,625
6890,471,6832,1,625
7569,14002,6755,1,625
8067,2950,6633,13,3000
1730,11315,6321,9,2974
1925,5525,5748,1,793
3206,7912,9907,1,2401
7540,10383,9087,13,1703
4081,7907,9901,1,2300
6652,4686,5557,13,38
5348,1494,3486,13,517
5220,10295,7412,13,3105
8631,10997,4366,13,760
7989,8604,11869,1,2304
2879,8616,7809,1,2413
1482,2739,11118,13,296
7190,4020,1258,1,2948
2198,10050,5404,4,1785
9714,775,469,13,1560
6163,6753,11968,1,1249
6027,13870,1912,1,1564
3264,8303,4438,7,2961
7369,10370,9059,13,1703
4080,7908,9902,1,1345
8103,8797,11968,13,1000
8354,3019,5245,13,1449
9386,9220,7775,13,1177
8153,2286,8143,1,519
5030,10216,9011,13,1703
1843,8750,6256,1,166
9514,1208,1506,9,275
6029,6454,6257,5,1564
2578,2372,4629,9,1634
1059,9796,8951,13,1703
7490,10379,9082,13,1703
4762,9142,4779,12,1214
10000,2459,4334,4,2834
777,14647,9636,4,2974
364,9142,4832,1,1214
5027,10216,9009,13,1703
2426,1285,1461,9,407
4081,7920,9901,1,1355
6589,7792,11968,13,125
7395,1174,3686,13,1564
5335,6815,2604,1,805
397,9142,432,12,1214
9818,11171,7308,13,1616
6933,5645,1780,13,776
8483,12167,3432,13,2542
1545,9687,3607,13,1249
10248,14130,2651,1,813
10436,4995,3203,13,3079
2016,1748,10325,13,249
3499,459,9730,1,1396
1900,11283,9423,9,2462
4081,7907,9901,1,2704
5227,5529,5441,1,2653
2539,10823,1224,13,760
5394,1781,11968,13,2535
7368,10370,9059,13,1703
1569,3476,6666,13,2611
4080,7908,9900,1,2668
5011,10216,8989,13,1703
3525,2070,3412,9,2418
5559,5537,973,9,2535
9400,5904,1865,1,625
5483,10231,6971,13,1895
310,14732,11782,9,779
9127,6123,7644,1,872
2434,2653,11968,9,1248
3499,459,9730,1,2469
4592,5663,4597,13,1083
9461,14700,11662,13,625
10733,10603,9138,1,1703
10488,12470,11530,1,1526
4081,7907,9901,1,2941
7604,10302,6414,1,1783
10232,8472,10632,1,2535
2138,4130,51,13,166
2674,4547,4601,9,67
5539,5325,3591,1,7
1962,12883,8801,1,1899
214,7357,11304,13,1213
5138,9226,7785,13,1633
5519,6449,3688,13,1508
4080,7908,9902,1,1555
11006,4659,4119,1,1706
2078,7845,4198,4,331
4837,1885,1697,13,3033
5167,6778,78,13,625
7917,1795,11968,13,2535
2463,3387,4242,5,1564
5017,10215,9017,1,1703
7224,7617,2836,1,2123
5791,7358,11305,13,1208
3531,13476,2619,13,1564
2812,6944,6008,1,1560
8079,5002,8627,13,166
6951,1857,299,13,813
2309,1017,1062,9,625
3344,7449,952,13,2972
1265,1826,1688,13,1883
3744,13471,7800,13,600
3205,7918,9893,1,1979
2278,8183,4150,1,896
1820,14734,11776,13,813
7208,1607,5639,4,2370
2897,2381,2278,1,2469
9893,567,2438,13,2330
6595,1178,10982,1,891
8300,8389,11968,1,1573
1734,11316,1226,9,2974
1558,3797,7882,4,1941
7584,7136,3341,13,1126
7413,13637,9561,1,1558
4999,10216,8989,13,1703
464,13281,8507,4,1584
10568,113,2837,5,210
1441,5207,11968,13,2174
5022,10216,9007,13,1703
10623,7881,3729,0,2051
644,12217,11968,13,125
9229,107,7524,1,772
4328,12624,10903,13,1566
923,14703,11968,13,792
9236,12331,11968,13,772
6720,11048,3319,13,2666
2047,12233,11968,13,758
1513,11792,11107,13,1083
11179,14431,7862,1,1899
8092,3164,4395,13,2925
7945,8595,4738,1,1249
4968,10853,11968,13,1249
8074,2222,4508,13,222
3404,1301,11968,4,1973
2592,5785,4422,13,2535
6608,1109,11281,13,1051
6020,10259,2273,1,2834
9623,1232,2005,13,7
3376,2721,9650,7,166
2208,9922,6135,4,2361
5428,10729,375,13,154
3779,14213,4313,5,1181
7962,397,11968,13,2160
7923,2721,9650,7,2535
5598,12432,3944,9,558
2864,10123,10146,13,2528
7919,2721,9650,7,171
8194,5856,726,1,1899
5580,1041,1547,1,1564
7413,10332,10901,13,625
7601,13018,5692,1,1587
9758,5154,11968,13,2853
8283,11789,11006,13,1083
3263,2069,8223,1,1083
2037,4173,4888,13,908
2210,9894,5407,4,2304
6428,7046,8909,13,600
4580,315,11968,13,2160
3475,5946,6865,0,2246
74,12232,9500,13,769
6714,10791,11968,13,296
9066,594,1322,4,2079
3585,6909,11968,13,296
624,68,10570,1,1211
8436,3920,11968,13,3105
1226,433,11968,13,1487
5896,939,9247,13,2044
4257,8028,7393,13,1249
11211,65,293,1,3081
8433,7582,10790,9,1396
11172,4598,11543,1,1526
3301,13344,11968,13,3105
1493,11243,9433,13,984
8863,936,3478,13,636
9974,14141,1363,1,833
3068,7973,6120,13,2992
872,2755,11968,13,813
7707,2308,4820,13,3105
1663,2807,3196,4,681
4119,12503,3733,13,1807
8990,5919,5522,13,1880
6023,7125,3210,0,2223
10456,3395,11475,1,1230
10480,1014,11968,13,813
4666,241,11968,13,2611
4772,13065,2783,13,1083
8937,12158,1661,1,79
5796,5965,4804,13,1125
3012,11585,51,13,1021
6672,13155,11968,9,204
8727,10645,2030,13,801
8824,12725,10168,1,625
5033,10216,9012,13,1703
8975,2173,11968,13,1249
9591,8369,8811,1,1421
4216,7425,2241,13,2939
6429,7704,338,1,1560
7489,10379,9081,13,1703
1181,5425,3538,1,109
8514,8012,4885,13,2304
3577,4418,11968,13,1553
7596,7700,6412,1,1560
8049,11295,1587,9,2974
10745,13666,8038,13,2939
11173,6781,89,9,367
7545,10383,9090,13,1703
6723,2006,11968,13,2535
1217,1262,10046,9,625
10891,987,8288,1,3007
10550,462,1706,13,625
6742,11503,4636,13,252
5395,1845,5002,13,813
3246,1684,240,1,2535
3159,10743,7908,13,813
759,11918,11968,13,209
4990,10215,9025,1,1703
8497,7702,8821,1,1560
6742,11501,4638,13,252
3503,4369,9559,1,2614
9772,4285,5467,13,2913
10331,758,11857,13,1518
5109,5649,3362,13,787
10738,10604,9132,13,1703
3700,3315,3971,13,1302
8941,13411,9301,13,905
9461,13609,10552,13,813
9013,10751,11892,13,179
4908,759,11858,13,1518
5622,655,11855,13,1518
6060,10417,6715,13,2541
2199,9949,5404,4,1972
9144,9110,4737,1,1589
2792,7878,6073,13,2051
5014,10216,8989,13,1703
4429,3338,7069,13,1703
11022,10616,9143,13,1703
7962,11584,270,13,1022
4285,10198,4984,1,600
310,6056,2978,1,2934
5167,12069,3579,1,243
1582,9831,8151,13,3011
11122,4396,5531,1,600
7266,12658,5224,4,2167
605,4401,6864,13,1508
7381,10369,9076,1,1703
8113,11274,6951,1,2974
6676,13620,399,13,1566
2565,2532,3935,13,367
7611,669,10130,13,21
5603,7599,4077,5,1564
3354,2725,777,9,1419
5007,10216,8999,13,1703
8638,10782,305,13,813
10843,1694,10840,13,296
6575,7441,11312,13,1083
2323,8173,4054,13,1161
4995,10216,8993,13,1703
8468,7630,8381,9,2539
2199,14586,5346,4,2361
1025,13727,9439,1,2954
7192,4020,1257,1,1703
2222,10002,5337,4,1772
10353,9436,11244,9,1703
2680,14729,11968,9,810
445,9534,8435,9,625
9739,302,11968,13,2270
11214,14546,8043,13,6
11202,13963,10243,13,1083
5260,2724,2734,7,1420
1554,6950,10720,1,1058
4999,10216,8989,13,1703
8667,8933,10460,4,1538
6932,7746,11968,13,888
8366,7398,4361,1,2961
10248,9678,8744,1,2961
8651,10486,9459,13,813
11065,6486,5081,1,276
6410,9020,9199,1,884
4623,14436,4936,13,296
272,3251,7922,1,1560
4108,8482,433,13,946
8561,9008,11968,13,1807
3161,10741,7910,1,3104
3719,4589,890,13,1487
970,3955,6633,13,1560
90,8564,1293,1,2535
3344,1737,51,13,2946
6583,2108,8010,13,1899
10983,7705,1964,1,1560
2355,14422,10224,9,3099
5018,10216,9005,13,1703
10795,14528,496,4,376
9095,7592,4914,13,625
6335,6558,3076,1,226
2722,1415,8966,1,1759
3707,2106,8010,13,2612
7492,10379,9084,13,1703
6700,2789,11968,13,2535
7962,2072,2929,13,1249
1616,7792,2324,13,125
10729,10601,9127,1,1703
4174,2470,7026,13,7
6023,7424,2272,13,2967
3080,4502,10767,13,3105
3057,1595,11968,13,2044
352,8689,3111,1,2535
5434,14718,11771,13,824
7403,7526,6990,13,70
2258,2106,7998,13,2304
10751,1430,9200,1,1703
7831,8545,8113,13,264
8686,12894,2659,13,38
10090,10566,9118,13,1703
3059,8229,6363,13,1703
2236,2106,7998,13,1759
7949,428,11968,13,2231
7528,13327,6191,13,2254
4456,12038,7826,13,295
4369,8623,5555,9,813
876,11166,11968,13,1845
4456,12038,7826,13,2276
1292,12771,8386,13,813
1161,148,1929,13,1564
7107,12038,7826,13,1987
5013,10216,9003,13,1703
10248,1928,5004,1,813
8645,3757,6529,5,2475
7107,12038,7826,13,2296
7107,12038,7826,13,2341
7767,348,11968,13,2612
1751,7444,11968,13,1807
10673,11382,6701,1,2462
4457,13319,2372,13,1343
2084,7855,5451,13,2754
9919,12887,5637,13,1564
6056,7763,4450,13,1792
4457,13319,2372,13,2089
9414,7772,9273,5,125
8383,4851,9037,9,2470
7582,7849,11968,13,1964
9536,11391,6698,1,1937
9823,1254,11936,1,1796
1665,2802,3196,4,568
11026,10616,9148,13,1703
9425,6216,6817,13,813
7512,8213,1852,1,1083
1222,3171,4394,13,2925
2372,2466,3687,3,1501
1314,4828,496,4,490
1459,2247,5119,13,1389
1373,9816,5020,1,813
9899,14124,11968,13,2535
6607,12741,2420,13,1564
5771,10954,4196,4,412
3910,4185,7924,13,2399
11188,6059,2971,13,264
759,11918,11968,13,281
7560,13213,11386,5,1003
759,11918,11968,13,288
6333,5365,1820,13,841
9019,9101,11450,13,813
3206,7912,9907,1,1375
5027,10216,9010,13,1703
10556,2289,3790,4,600
11173,13591,11149,13,946
587,13493,11149,13,946
5108,13305,3941,13,227
6482,13492,11148,13,946
4761,13489,2896,4,2611
9854,8855,393,13,943
1750,8359,9575,13,1830
731,12737,11968,13,1564
10499,13582,11147,13,946
4580,736,3290,13,2754
5574,12593,5757,9,625
587,12736,347,13,207
11173,6792,11968,4,1720
8702,4536,1428,9,625
8824,6875,10788,9,2535
310,13745,4590,13,625
1591,11439,4339,4,2611
6582,7134,11559,13,2951
6514,4753,9597,4,369
4440,12370,7361,13,2438
8890,14055,7116,13,2535
759,11918,11968,13,1068
2198,10021,7256,4,3005
310,12097,9732,5,776
7596,7435,5444,1,1446
5999,1316,11968,9,2716
3595,2238,3635,13,813
5225,3372,3387,13,473
9984,2240,7269,13,813
2107,8097,8604,9,452
8023,4871,4564,1,1511
9985,2241,7270,13,813
7547,8824,11968,13,1249
1463,5185,98,13,1249
2767,3707,9246,1,2044
11173,11609,3832,13,2775
8139,3908,3496,13,473
6792,5798,7976,13,2528
11156,12757,7486,13,1249
8555,14485,6019,4,2820
5225,3907,3495,13,473
4345,907,1425,1,625
2613,7512,7271,13,813
7348,12037,3628,1,1412
659,13373,4133,6,14
8361,608,1379,9,625
9034,10950,9286,13,2535
7316,13936,10485,1,519
10599,4899,8307,13,1172
6287,13527,10962,13,822
6631,1566,7507,13,2853
9266,7985,7645,1,2834
10441,2440,11021,13,2482
3461,8967,3120,13,1583
3800,2963,668,1,1564
2210,14591,9352,4,2619
6808,7611,11619,13,2736
4081,7920,9901,1,3039
7630,3968,51,13,1195
4363,11455,2707,1,367
7760,11971,10659,13,1249
4070,4592,2394,13,1083
4577,11024,2884,1,2687
7640,3671,5593,4,2853
11118,10618,9155,1,1703
2210,10007,7229,4,1383
4712,4897,8317,13,83
1003,12809,1473,13,1692
9348,9694,171,13,1564
7220,8145,11968,2,1587
5562,7669,7836,1,1564
10141,6655,5200,5,1249
9895,14123,11968,13,2535
3208,6069,9915,1,2734
7413,11465,11968,13,74
11215,1751,11968,9,2918
1001,5492,1433,9,1249
8660,4067,7690,13,1249
132,8258,8703,13,296
632,2563,5539,4,1740
7935,12846,245,13,1196
1227,12389,11117,1,410
2890,10175,5296,13,172
1837,13621,478,13,1566
2258,11988,4442,4,1383
6947,3463,7140,13,625
8178,14571,11968,5,1134
8540,5241,7788,4,2498
4201,5444,5112,13,1772
7372,10370,9063,13,1703
9421,13681,11194,13,813
10531,10182,194,5,3105
5753,6626,3112,4,2577
8141,12597,1635,1,625
3621,14270,2647,13,1032
4107,77,10544,13,1807
4348,3409,11907,1,2535
3208,6070,9915,1,2904
1900,11281,9423,9,2462
9685,6549,11968,13,2051
2138,5767,8514,13,105
3755,4587,2824,1,216
6706,3136,4900,13,367
4081,7921,9901,1,2675
5841,10248,9972,13,2259
3559,2453,3379,1,7
6571,8136,5062,2,1461
5218,13668,7869,9,2535
11173,14194,1936,13,2535
10440,1363,9490,13,878
5061,10941,2087,1,772
9806,11607,1409,1,1592
587,12733,2019,13,367
142,1248,10951,13,1002
9759,5728,8298,1,1650
6053,14018,9461,7,2834
4112,4855,4887,13,465
7564,12583,6751,1,2535
8242,5411,3817,13,296
11154,13902,9471,4,1636
3721,14351,3438,9,703
7795,4872,2764,1,1512
